Damping,NumLayers,MaxValAcc_LSTM,MaxValAcc_Mamba,File
0.1,1,19.83,40.73,massClass_471229_0.out
0.1,2,27.1,31.23,massClass_471229_1.out
0.2,1,28.1,42.17,massClass_471229_2.out
0.2,2,19.67,41.57,massClass_471229_3.out
0.3,1,30.2,44.8,massClass_471229_4.out
0.3,2,20.77,40.17,massClass_471229_5.out
0.4,1,21.4,44.3,massClass_471229_6.out
0.5,1,23.57,41.13,massClass_471229_8.out
0.5,2,19.5,40.7,massClass_471229_9.out
0.6,1,27.47,40.67,massClass_471229_10.out
0.6,2,26.33,44.93,massClass_471229_11.out
0.7,1,24.37,41.67,massClass_471229_12.out
0.7,2,27.63,43.83,massClass_471229_13.out
0.8,1,27.43,42.33,massClass_471229_14.out
0.8,2,23.63,45.27,massClass_471229_15.out
0.9,1,27.07,39.9,massClass_471229_16.out
0.9,2,30.13,44.27,massClass_471229_17.out
