Model,Epoch,Validation Accuracy
LSTM,1,56.28
LSTM,2,41.58
LSTM,3,42.12
LSTM,4,50.17
LSTM,5,42.47
LSTM,6,59.53
LSTM,7,57.03
LSTM,8,60.7
LSTM,9,50.58
LSTM,10,60.63
LSTM,11,65.43
LSTM,12,62.1
LSTM,13,49.23
LSTM,14,49.18
LSTM,15,66.02
LSTM,16,65.48
LSTM,17,51.95
LSTM,18,48.12
LSTM,19,67.62
LSTM,20,52.15
LSTM,21,64.88
LSTM,22,49.88
LSTM,23,64.6
LSTM,24,63.88
LSTM,25,60.6
LSTM,26,66.0
LSTM,27,65.47
LSTM,28,65.98
LSTM,29,65.92
Mamba,1,25.03
Mamba,2,25.03
Mamba,3,25.78
Mamba,4,25.03
Mamba,5,24.7
Mamba,6,25.78
Mamba,7,25.03
Mamba,8,25.78
Mamba,9,25.78
Mamba,10,25.78
Mamba,11,25.78
Mamba,12,25.78
Mamba,13,25.78
Mamba,14,25.78
Mamba,15,24.48
Mamba,16,25.78
